Category: FRED > Categories > Production & Business Activity > Retail Trade
Link: https://fred.stlouisfed.org/categories/6
README File Created: 2017-12-09
FRED (Federal Reserve Economic Data)
Economic Research Division
Federal Reserve Bank of St. Louis

Series files in the data directory sorted by series id:

File                                    ;Title; Units; Frequency; Seasonal Adjustment; Last Updated
MRTSIR445USN.txt                        ;Retail Inventories to Sales Ratio: Food and Beverage Stores; Ratio; M; NSA; 2017-12-06
MRTSIR445USS.txt                        ;Retail Inventories to Sales Ratio: Food and Beverage Stores; Ratio; M; SA; 2017-12-06
MRTSIR448USN.txt                        ;Retail Inventories to Sales Ratio: Clothing and Clothing Accessory Stores; Ratio; M; NSA; 2017-12-06
MRTSIR448USS.txt                        ;Retail Inventories to Sales Ratio: Clothing and Clothing Accessory Stores; Ratio; M; SA; 2017-12-06
MRTSIR4521EUSN.txt                      ;Retail Inventories to Sales Ratio: Department Stores (Excluding Leased Departments); Ratio; M; NSA; 2017-12-06
MRTSIR4521EUSS.txt                      ;Retail Inventories to Sales Ratio: Department Stores (Excluding Leased Departments); Ratio; M; SA; 2017-12-06
MRTSIR452USN.txt                        ;Retail Inventories to Sales Ratio: General Merchandise Stores; Ratio; M; NSA; 2017-12-06
MRTSIR452USS.txt                        ;Retail Inventories to Sales Ratio: General Merchandise Stores; Ratio; M; SA; 2017-12-06
MRTSMPCIM44000USN.txt                   ;Retail Inventories: Retail (Excluding Food Services); % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCIM44000USS.txt                   ;Retail Inventories: Retail (Excluding Food Services); % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCIM4400AUSN.txt                   ;Retail Inventories: Retail Trade, Excluding Auto; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCIM4400AUSS.txt                   ;Retail Inventories: Retail Trade, Excluding Auto; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCIM441USN.txt                     ;Retail Inventories: Motor Vehicle and Parts Dealers; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCIM441USS.txt                     ;Retail Inventories: Motor Vehicle and Parts Dealers; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCIM4423XUSN.txt                   ;Retail Inventories: Furniture, Home Furniture, Electronics, and Appliance Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCIM4423XUSS.txt                   ;Retail Inventories: Furniture, Home Furniture, Electronics, and Appliance Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCIM444USN.txt                     ;Retail Inventories: Building Materials, Garden Equipment and Supplies Dealers; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCIM444USS.txt                     ;Retail Inventories: Building Materials, Garden Equipment and Supplies Dealers; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCIM445USN.txt                     ;Retail Inventories: Food and Beverage Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCIM445USS.txt                     ;Retail Inventories: Food and Beverage Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCIM448USN.txt                     ;Retail Inventories: Clothing and Clothing Accessory Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCIM448USS.txt                     ;Retail Inventories: Clothing and Clothing Accessory Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCIM4521EUSN.txt                   ;Retail Inventories: Department Stores (Excluding Leased Departments); % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCIM4521EUSS.txt                   ;Retail Inventories: Department Stores (Excluding Leased Departments); % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCIM452USN.txt                     ;Retail Inventories: General Merchandise Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCIM452USS.txt                     ;Retail Inventories: General Merchandise Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM44000USN.txt                   ;Retail Sales: Retail (Excluding Food Services); % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM44000USS.txt                   ;Retail Sales: Retail (Excluding Food Services); % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM4400AUSN.txt                   ;Retail Sales: Retail Trade, Excluding Auto; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM4400AUSS.txt                   ;Retail Sales: Retail Trade, Excluding Auto; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM4400CUSN.txt                   ;Retail Sales: GAFO (General Merchandise Normally Sold in Department Stores); % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM4400CUSS.txt                   ;Retail Sales: GAFO (General Merchandise Normally Sold in Department Stores); % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM44111USN.txt                   ;Retail Sales: New Car Dealers; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM44112USN.txt                   ;Retail Sales: Used Car Dealers; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM4411USN.txt                    ;Retail Sales: Automobile Dealers; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM4413USN.txt                    ;Retail Sales: Automotive Parts, Accessories, and Tire Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM4413USS.txt                    ;Retail Sales: Automotive Parts, Accessories, and Tire Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM441USN.txt                     ;Retail Sales: Motor Vehicle and Parts Dealers; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM441USS.txt                     ;Retail Sales: Motor Vehicle and Parts Dealers; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM441XUSN.txt                    ;Retail Sales: Auto and Other Motor Vehicles; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM441XUSS.txt                    ;Retail Sales: Auto and Other Motor Vehicles; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM4421USN.txt                    ;Retail Sales: Furniture Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM44221USN.txt                   ;Retail Sales: Floor Covering Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM442299USN.txt                  ;Retail Sales: All Other Home Furnishings Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM4422USN.txt                    ;Retail Sales: Home Furnishings Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM4423XUSN.txt                   ;Retail Sales: Furniture, Home Furniture, Electronics, and Appliance Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM4423XUSS.txt                   ;Retail Sales: Furniture, Home Furniture, Electronics, and Appliance Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM442USN.txt                     ;Retail Sales: Furniture and Home Furnishings Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM442USS.txt                     ;Retail Sales: Furniture and Home Furnishings Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM443111USN.txt                  ;Retail Sales: Household Appliance Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM443112USN.txt                  ;Retail Sales: Radio, TV, and Other Electronics Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM44311USN.txt                   ;Retail Sales: Appliance, TV, and Other Electronics Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM44312USN.txt                   ;Retail Sales: Computer and Software Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM44312USS.txt                   ;Retail Sales: Computer and Software Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM443USN.txt                     ;Retail Sales: Electronics and Appliance Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM443USS.txt                     ;Retail Sales: Electronics and Appliance Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM44412USN.txt                   ;Retail Sales: Paint and Wallpaper Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM44413USN.txt                   ;Retail Sales: Hardware Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM4441USN.txt                    ;Retail Sales: Building Material and Supplies Dealers; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM4441USS.txt                    ;Retail Sales: Building Material and Supplies Dealers; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM444USN.txt                     ;Retail Sales: Building Materials, Garden Equipment and Supplies Dealers; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM444USS.txt                     ;Retail Sales: Building Materials, Garden Equipment and Supplies Dealers; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM44511USN.txt                   ;Retail Sales: Supermarkets and Other Grocery (Except Convenience) Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM4451USN.txt                    ;Retail Sales: Grocery Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM4451USS.txt                    ;Retail Sales: Grocery Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM4453USN.txt                    ;Retail Sales: Beer, Wine, and Liquor Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM4453USS.txt                    ;Retail Sales: Beer, Wine, and Liquor Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM445USN.txt                     ;Retail Sales: Food and Beverage Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM445USS.txt                     ;Retail Sales: Food and Beverage Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM44611USN.txt                   ;Retail Sales: Pharmacies and Drug Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM44611USS.txt                   ;Retail Sales: Pharmacies and Drug Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM446USN.txt                     ;Retail Sales: Health and Personal Care Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM446USS.txt                     ;Retail Sales: Health and Personal Care Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM447USN.txt                     ;Retail Sales: Gasoline Stations; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM447USS.txt                     ;Retail Sales: Gasoline Stations; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM44811USN.txt                   ;Retail Sales: Men's Clothing Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM44811USS.txt                   ;Retail Sales: Men's Clothing Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM44812USN.txt                   ;Retail Sales: Women's Clothing Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM44812USS.txt                   ;Retail Sales: Women's Clothing Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM44814USN.txt                   ;Retail Sales: Family Clothing Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM44819USN.txt                   ;Retail Sales: Other Clothing Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM4481USN.txt                    ;Retail Sales: Clothing Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM4481USS.txt                    ;Retail Sales: Clothing Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM4482USN.txt                    ;Retail Sales: Shoe Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM4482USS.txt                    ;Retail Sales: Shoe Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM44831USN.txt                   ;Retail Sales: Jewelry Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM44831USS.txt                   ;Retail Sales: Jewelry Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM448USN.txt                     ;Retail Sales: Clothing and Clothing Accessory Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM448USS.txt                     ;Retail Sales: Clothing and Clothing Accessory Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM44X72USN.txt                   ;Retail Sales: Retail and Food Services, Total; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM44X72USS.txt                   ;Retail Sales: Retail and Food Services, Total; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM44Y72USN.txt                   ;Retail Sales: Retail and Food Services Excluding Motor Vehicles and Parts Dealers; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM44Y72USS.txt                   ;Retail Sales: Retail and Food Services Excluding Motor Vehicles and Parts Dealers; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM45111USN.txt                   ;Retail Sales: Sporting Goods Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM45112USN.txt                   ;Retail Sales: Hobby, Toy, and Game Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM451211USN.txt                  ;Retail Sales: Book Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM451USN.txt                     ;Retail Sales: Sporting Goods, Hobby, Book, and Music Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM451USS.txt                     ;Retail Sales: Sporting Goods, Hobby, Book, and Music Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM452111EUSN.txt                 ;Retail Sales: Department Stores (Excluding Discount Department Stores); % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM452111IUSN.txt                 ;Retail Sales: Department Stores (Excluding Discount Department Stores); % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM452112EUSN.txt                 ;Retail Sales: Discount Department Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM452112IUSN.txt                 ;Retail Sales: Discount Department Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM4521EUSN.txt                   ;Retail Sales: Department Stores (Excluding Leased Departments); % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM4521EUSS.txt                   ;Retail Sales: Department Stores (Excluding Leased Departments); % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM4521IUSN.txt                   ;Retail Sales: Department Stores (Including Leased Departments); % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM45291USN.txt                   ;Retail Sales: Warehouse Clubs and Superstores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM45291USS.txt                   ;Retail Sales: Warehouse Clubs and Superstores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM45299USN.txt                   ;Retail Sales: All Other General Merchandise Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM45299USS.txt                   ;Retail Sales: All Other General Merchandise Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM4529USN.txt                    ;Retail Sales: Other General Merchandise Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM4529USS.txt                    ;Retail Sales: Other General Merchandise Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM452USN.txt                     ;Retail Sales: General Merchandise Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM452USS.txt                     ;Retail Sales: General Merchandise Stores; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM45321USN.txt                   ;Retail Sales: Office Supplies and Stationery Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM45322USN.txt                   ;Retail Sales: Gift, Novelty, and Souvenir Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM4532USN.txt                    ;Retail Sales: Office Supplies, Stationery, and Gift Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM45330USN.txt                   ;Retail Sales: Used Merchandise Stores; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM453USN.txt                     ;Retail Sales: Miscellaneous Store Retailers; % Chg. from Preceding Period; M; NSA; 2017-12-06
MRTSMPCSM453USS.txt                     ;Retail Sales: Miscellaneous Store Retailers; % Chg. from Preceding Period; M; SA; 2017-12-06
MRTSMPCSM4541USN.txt                    ;Retail Sales: Electronic Shopping and Mail-order Houses; % Chg. from Preceding Period; M; NSA; 2017-12-06
